7197	5	22996
27503	3	38426
8955	5	22187
15510	3	28897
26455	3	7840
31479	1	27325
18212	5	21455
4673	5	6496
9036	5	33122
7900	5	38353
11488	5	29630
33830	3	29622
2905	3	35097
10709	3	12646
24533	9	40627
5625	5	3973
28886	5	16353
17927	5	9700
27626	8	30234
39378	3	6128
889	3	1955
25120	3	6135
26206	1	106
25675	3	40509
904	7	797
7111	5	24199
37657	5	107
31922	9	24519
14722	5	40396
24525	3	38849
15154	5	38381
7756	5	22006
7619	3	40436
22839	3	20053
36396	3	31865
30768	9	6910
15232	1	32617
19007	5	5754
27953	3	7027
23624	5	4074
33199	5	36812
9296	3	11541
35677	5	17484
24642	3	22472
16165	2	34785
2492	9	15096
36218	3	1445
26580	9	32529
5839	2	34410
39038	3	316
18080	3	33683
12461	5	27146
35220	3	10011
39451	5	19431
15292	5	25974
11430	5	24886
31173	5	8382
33074	3	5954
4327	3	2258
5773	5	14685
30260	3	27254
28985	5	38037
14194	3	2738
38421	3	20884
26903	5	18928
39878	3	17673
7905	3	35691
28109	3	37633
36257	3	22418
10078	3	22593
30986	5	11741
8159	3	32093
39893	5	4458
27984	5	32028
21497	3	25617
38988	3	21506
32596	3	38426
4967	5	37185
21517	3	37688
1106	5	23313
26144	5	30975
12139	4	37741
35537	5	7045
24118	10	38961
9787	3	33020
29543	5	18671
36413	9	12599
26875	3	29342
23949	6	31706
18336	3	12917
27962	3	29342
23864	9	18656
157	7	40845
33060	5	26934
35920	5	17641
20359	3	17154
26058	5	9932
31601	5	6796
19235	5	6959
32913	3	25732
17273	3	24929
9016	3	13529
22232	1	7064
19846	5	36183
27084	3	2680
1428	9	24261
29560	9	25628
29497	0	19830
19649	3	23131
31435	5	26279
16421	5	2364
27132	3	15706
16816	7	22783
744	3	18227
10008	9	24185
33594	3	16254
34020	7	15908
28491	5	37152
10539	5	40022
12245	5	1435
28543	9	1816
20264	3	6798
31902	9	21947
31618	3	22016
12099	3	23061
9170	4	19669
29301	3	7205
39478	3	30975
10282	3	19090
34860	3	38831
16773	3	30319
26613	5	11745
7968	5	12800
33238	5	38915
7888	3	7007
16541	3	37386
37322	5	40860
19294	5	8347
13329	3	24346
37941	5	23766
20274	5	32203
8400	3	32093
16940	3	35097
26883	3	11208
21018	5	17320
31321	4	29757
13516	5	29315
1210	9	30274
10631	5	31118
36481	9	10299
36362	7	16290
713	3	433
36507	5	23059
28462	5	7219
23678	3	5210
29184	3	24876
37880	5	462
39752	5	8529
4649	3	16263
28822	5	36573
34999	3	21875
35547	1	8245
4200	3	29622
39498	3	4422
36948	5	23844
28391	3	31721
24178	5	36281
7153	5	6186
11434	3	33264
8892	3	16966
1092	5	34969
24118	10	40878
20486	5	29113
7435	1	31685
36047	5	2385
27960	5	29060
5880	7	15277
28236	5	29107
22609	9	40353
24821	5	31953
6172	3	13493
11709	3	28272
24137	5	10595
27577	3	31865
34211	5	31596
1494	3	3273
1618	3	17673
29103	5	5653
36796	3	23965
478	3	17845
13353	3	32873
18862	5	29421
35894	1	36025
17151	3	4016
3625	5	10224
12853	3	20313
40651	3	38543
32732	3	3620
20200	5	24891
20911	1	10378
29109	4	21985
4297	5	16300
25869	3	2723
530	3	17678
22762	3	7318
4050	5	25108
29735	4	18764
6986	9	27578
35119	5	5810
27596	5	19147
22303	0	4875
27005	1	30370
28540	3	14844
25576	5	8695
11	5	14127
29822	3	14918
24387	4	10310
10015	3	37633
10303	5	24029
1862	5	35983
1810	3	4783
30517	3	10111
34573	4	20977
30241	3	27591
20084	3	7465
14878	0	18712
33544	3	26794
14793	3	19025
39524	5	4271
16406	1	26418
2728	3	24799
13594	9	25471
18738	5	239
26539	3	28835
7918	1	23141
17204	5	20656
35524	3	25380
28142	5	19190
24770	3	33113
40797	7	5949
20833	5	21115
39728	3	30393
14427	3	38849
12404	9	16322
28123	3	8041
5170	9	28747
11767	5	27287
35592	3	9861
12875	5	37929
5748	3	38849
18706	7	26671
3316	5	19572
26627	3	16700
222	3	33473
35347	9	31838
2192	3	137
12492	7	2680
10747	3	3677
10784	3	13016
6418	7	31248
17466	3	36573
10720	3	37633
19095	3	23965
6268	5	8790
4227	9	14580
7407	3	40891
39288	5	34270
36280	5	35468
21822	9	1872
36663	5	21013
19003	3	11024
16789	1	34082
26573	5	32581
27799	5	34334
22406	3	32547
23042	3	30156
8219	3	11392
33454	4	12670
33675	3	31264
17326	2	4878
23770	5	16827
40344	1	13235
11205	3	13329
33039	5	20548
34292	5	2345
6246	5	14515
8329	3	13659
21798	5	30575
3715	5	25847
36681	9	36072
4535	5	25578
10949	3	35097
29126	3	31647
28623	3	28778
32088	5	11696
21006	3	21715
13602	3	8870
10834	2	25328
33324	5	2064
24993	1	13546
10477	9	29084
8958	5	10686
565	1	38443
21305	5	8913
24798	3	8679
25998	3	26804
39447	5	22516
9039	3	20676
28839	3	33608
21949	4	24717
311	5	16792
22820	5	13878
220	3	15243
4242	3	35902
34419	8	3906
39577	3	35843
33884	3	31002
9592	5	1011
30768	9	2093
32727	4	29757
32850	3	23850
36228	5	7974
8199	3	13659
28983	5	10060
14874	4	37741
32146	5	9349
28370	5	16800
16468	3	21451
2756	1	20748
4700	1	19524
19055	1	8480
35768	5	39893
2780	9	16722
24546	9	36942
15703	3	39548
30478	8	14076
36244	1	36037
6805	3	15792
33125	9	26276
30163	5	12702
337	3	5403
14590	5	19131
5819	3	31479
36755	5	6823
35347	9	28543
6325	5	21624
37608	5	27187
18973	5	22223
24029	3	33672
13305	5	25881
8016	5	5275
21349	3	17897
16300	5	30815
30429	1	18450
11802	5	21935
26950	3	16566
10983	5	40213
33055	3	20622
14945	3	4700
19880	5	35688
36433	5	17522
7484	1	21401
14968	5	35451
10777	9	34187
21542	5	23172
4837	7	20783
12510	9	23933
24118	10	40704
8035	7	20783
32757	5	8637
14471	5	14666
2183	9	32338
21294	3	13682
33094	5	1076
21557	5	9273
39673	3	33683
24729	3	21366
21066	3	32093
19554	3	38849
34754	5	12065
11045	4	19669
37873	5	3454
30278	3	36565
5485	5	3580
35854	3	5588
5473	3	37029
33280	5	27262
22384	5	21806
33469	5	23523
12232	3	16905
29226	3	26223
14273	1	928
14258	5	11715
22952	4	29757
21862	3	35281
5552	3	2421
2641	5	28458
26750	4	11986
5372	5	40
17582	3	17026
13949	5	30815
16311	3	7671
22722	3	670
30550	5	34944
17535	5	1126
26368	3	23677
1572	7	12555
26439	1	19040
21374	3	37009
36834	3	4437
13504	5	1827
16090	3	38165
22410	5	16649
5716	3	20192
9119	3	19722
32041	5	33529
10980	3	35967
24147	3	9352
10639	3	11055
13937	3	15223
23042	5	8840
35936	5	36732
33084	5	7519
27486	4	29757
22478	3	35902
6907	5	28370
17252	5	20819
14039	3	2920
13371	9	21934
17142	5	8638
22192	3	11465
25069	3	23928
29012	4	31876
6319	4	28101
18959	9	30837
12766	3	13659
29912	3	36020
22502	3	26804
28740	4	25379
4256	7	28630
35078	3	35468
10312	3	26840
12167	5	15988
13166	3	13529
3421	3	28576
38326	3	5357
31851	5	14911
16375	3	35849
26008	2	25467
27089	3	23920
10719	5	28115
27518	3	27802
22101	4	4047
21211	9	26186
33715	2	24094
13473	3	32222
1412	3	3931
26746	4	18078
25130	1	40725
2568	3	21103
12267	3	26362
23228	5	4680
38882	3	12327
31609	3	459
31708	5	19790
10845	3	33580
28098	3	31002
6730	5	29830
11994	5	15656
6110	3	39998
39066	3	7339
33406	5	23871
13108	3	11726
2664	3	6563
10589	3	3885
39654	5	13430
29476	5	14166
21456	3	31569
31434	3	3780
25726	5	33790
11445	3	7914
1614	5	30933
17809	5	1841
20536	5	37763
21168	7	30874
31408	5	39026
7294	3	6092
29835	5	20413
38121	5	22003
8699	5	3905
38842	7	29213
1032	1	12657
26348	3	7407
39921	5	2213
5839	5	15713
37029	1	670
26034	3	26548
21992	7	40845
17753	3	21713
28587	4	26371
34087	3	38849
29249	8	23447
7188	0	38878
24118	10	32668
15665	7	8560
33197	3	39590
27736	5	33328
843	5	36329
32215	3	10315
24271	3	35097
23367	3	16815
36206	3	12035
28463	5	34274
12346	7	36209
31045	9	9315
30306	3	1396
3719	5	30106
29493	5	9280
13123	3	10732
28661	3	2460
